name,address,phone,rating,reviewCount,category,mapsUrl,status,scrapedAt,outreach
The 5 Dining Hall,"Louisiana State University, The 5 Dining Hall, Dalrymple Dr, Baton Rouge, LA 70802, USA",,3.8,203,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ9fw7AyWnJoYRpwUS4Sydack,OPERATIONAL,2026-03-28T15:16:29.175Z,"Hi there,

I noticed that The 5 Dining Hall doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3.8⭐ rating with 203 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Christina's Restaurant,"320 St Charles St, Baton Rouge, LA 70802, USA",(225) 336-9512,4.5,292,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJY3aTBsWgJoYRKMglJka4Ga8,CLOSED_TEMPORARILY,2026-03-28T15:16:29.175Z,"Hi there,

I noticed that Christina's Restaurant doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 292 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Unique Cuisine Cook Conference,"Baton Rouge, LA 70801, USA",(225) 578-3810,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ503GwkehJoYRAFy0qyGhbY0,OPERATIONAL,2026-03-28T15:16:29.175Z,"Hi there,

I noticed that Unique Cuisine Cook Conference doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
River Queen Drive Inn,"120 S Alexander Ave, Port Allen, LA 70767, USA",(225) 383-2952,4.3,340,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJEQwbN6CgJoYRygNhe-jZsHU,OPERATIONAL,2026-03-28T15:16:31.511Z,"Hi there,

I noticed that River Queen Drive Inn doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 340 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Southdowns Shopping Center,"Baton Rouge, LA 70808, USA",,4.5,129,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJb1tL36SmJoYRhvqkwO1H228,OPERATIONAL,2026-03-28T15:16:36.477Z,"Hi there,

I noticed that Southdowns Shopping Center doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 129 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Little Tokyo,"6401 Bluebonnet Blvd # 3002, Baton Rouge, LA 70836, USA",,4.3,23,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJvcLiyPykJoYRp5pIV0-DvQg,OPERATIONAL,2026-03-28T15:16:36.953Z,"Hi there,

I noticed that Little Tokyo doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 23 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Alicia's Restaurant,"12333 Jefferson Hwy, Baton Rouge, LA 70816, USA",(225) 778-7938,4.4,372,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ44bn8SS7JoYRgWyQq_ItpkQ,OPERATIONAL,2026-03-28T15:16:42.202Z,"Hi there,

I noticed that Alicia's Restaurant doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 372 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Farmer Meat Market,"4850 Scenic Hwy, Baton Rouge, LA 70805, USA",(225) 356-0261,4.6,276,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ2-ri-bOhJoYRPygJuJASGDY,OPERATIONAL,2026-03-28T15:16:42.633Z,"Hi there,

I noticed that Farmer Meat Market doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 276 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Twins Wings,"544 N Foster Dr, Baton Rouge, LA 70806, USA",(225) 924-6166,3.3,4,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJVd3IH16hJoYR0WiTMbzYWWM,OPERATIONAL,2026-03-28T15:16:44.915Z,"Hi there,

I noticed that Twins Wings doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3.3⭐ rating with 4 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Mr PO-Boy,"6888 Airline Hwy, Baton Rouge, LA 70805, USA",(225) 354-0220,4.2,464,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJK5aWDTqiJoYR0lFO9-Inz0k,OPERATIONAL,2026-03-28T15:16:44.915Z,"Hi there,

I noticed that Mr PO-Boy doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.2⭐ rating with 464 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Baton Rouge businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
