name,phone,category
Mother's Restaurant,+15045239656,restaurant
Floating Island,+15042144199,restaurant
Beignets & More,+15044599233,restaurant
Lucky Jean Seafood,+15042457842,restaurant
Lacy's Cue Sports Bar,+15046826199,restaurant
Banh Mi Sao Mai,+15042543977,restaurant
Nha Trang,+15046620014,restaurant
The Galley Seafood,+15048320955,restaurant
Eastern European Foods,+15044661982,restaurant
Bruno's Tavern,+15048617615,restaurant
Singleton's Mini Mart,+15048664741,restaurant
Seafood Zone,+15043670550,restaurant
Tienda Latina,+19854451036,restaurant
Red Apple Restaurant,+19856263373,restaurant
Pearson's Crab Company,+19853281451,restaurant
Pop's Cafe LLC,+19852189099,restaurant
Dunkin',+19853599244,restaurant
Beijing,+19853318885,restaurant
Uchi Sushi,+19853071080,restaurant
Musical Legends Park,+15048887608,cafe
NOLA Wesley United Methodist Campus Center,+15048668681,cafe
The Cafe on 11,+15045611244,cafe
Flora Gallery & Coffee Shop,+15049478358,cafe
Vic's Kangaroo Cafe,+15045244329,cafe
Cafe New Orleans,+12253026102,cafe
Cafe Michoud,+15042543808,cafe
Phatgirlsoul,+15049300502,cafe
Starbucks Coffee Company,+15043750370,cafe
Snow World Snowballs & Her Coffee Shoppe,+15044399949,cafe
Jackpot Coffee House,+15048898101,cafe
Le Petit Cafe Coffee House,+15044433720,cafe
Shiloh's Coffee,+15048003479,cafe
The Pot Called Kettle,+15047389571,cafe
River Ridge Donuts,+15049404176,cafe
Chez Pierre French Bakery & Café,+15044673176,cafe
Colby's Cafe,+15042529004,cafe
Metro Foods & Catering Co,+15047373287,cafe
Fit Blendz,+15042677129,cafe
eats inc,+15043723289,cafe
NOLA Snowballs and Foods,+15049090600,cafe
Algiers Steak & Oyster Cafe,+15043660067,cafe
Fresh Food,+15042987435,cafe
Country Kitchen,+19856265375,cafe
Cafetomas,+19857780112,cafe
Rome's Kitchen,+15042286882,cafe
Shay's Cafe,+15042940432,cafe
Starbucks Coffee Company,+19852873769,cafe
Jazz Cafe,+19857850200,cafe
Twisted Waffles Cafe,+19853315036,cafe
Daiquiri Chef,+15043246184,bar
Twin Stop Lounge,+15045219049,bar
Rain Lounge,+15045090772,bar
Lucky's Lounge,+15042451329,bar
Overtyme @ FIFTHQUARTER,+15043822749,bar
Starz Comedy Club,+15048741225,bar
Juan's Bar,+15043715608,bar
Barbara's Place,+15042780034,bar
Knuckleheads Sports Bar & Grill,+15048885858,bar
Cheers,+15043542198,bar
Spotlight Bar & Grill,+15048892311,bar
The Gas Station Bar,+15043245777,bar
El Bunker Premium Hookah Club,+15044179838,bar
Kings Lounge Dive Bar,+15042269080,bar
Westgate Tavern,+15044630299,bar
Round House Bar and Grill,+15042242466,bar
Pink Street Pub,+15043244894,bar
Mick's Irish Pub,+15044829113,bar
The Blvd Bar,+15048347979,bar
Dago's Cantina,+15044673246,bar
Dolly's Bar,+15043052731,bar
Daiquiri Place,+15044647466,bar
Rootbeer's Sports Bar,+15044662066,bar
The Takeoff Tavern and Grill,+15044702735,bar
3rd Rock Tavern,+15044650755,bar
RANCHO CHICO TAQUERIA Gas Station & Market,+15044055006,bar
noche latina 94o,+15046138870,bar
The Gate Bar,+15044630299,bar
B's Trudeau Tavern,+15044692221,bar
Rudys Pub and Grub,+15044055404,bar
Brewsky's Bar & Grill,+15043541911,bar
Rickshaw Lounge,+15047377005,bar
Tavern on Citrus,+15042185186,bar
The Mill,+15043056167,bar
Southern Prestige Promotions,+15042314705,bar
Riverside Tavern,+15047379044,bar
Uncle Matt's Bar,+15044702315,bar
My Brother's Bar,+15047399030,bar
Bar 61,+15042675853,bar
Bazile Triple C's Lounge,+15043584756,bar
The Turtle,+15047376301,bar
Pit Stop,+15048282928,bar
The Fan Sports Bar,+15043452835,bar
Whiteys Pool Hall,+15048339122,bar
Clinic Bar,+15048388820,bar
Area1200Lounge,+15044006998,bar
Players Pub,+15043019446,bar
Henry's Uptown Bar,+15043248140,bar
Grit's Bar,+15048999211,bar
Perrin's Cajun Kitchen,+15043417097,bar
Mona Lisa Lounge,+15043417097,bar
Daiquiri Shoppe,+15043482764,bar
Paradise Daiquiri,+17708813669,bar
Primetime,+15043478707,bar
Buddy's lounge,+15043473459,bar
Tig's Neighborhood Bar,+15042315989,bar
Brass Rail,+15043717515,bar
Cozy Kit Bar & Lounge,+15042908646,bar
Etcetera Bar & Lounge,+15043076955,bar
Club 1111 Bar & Hookah,+15044818314,bar
Side Pocket Bar & Grill,+15042650738,bar
Smittys Lounge,+19855155578,bar
Deuce'z Sports Bar,+15044782993,bar
Brothers III Lounge,+15048979912,bar
Redd's Uptilly Tavern,+15043011605,bar
Algiers Sports Bar 1,+15043549577,bar
Daq Shaq,+15042677396,bar
