name,phone,category,full_url,short_url,sms_message,msg_chars,segments
Mother's Restaurant,+15045239656,restaurant,https://inkthorn.ai/crustacean?claim=mothers-restaurant&cat=restaurant,https://inkt.ai/c/mothers-restaurant,Hi Mother's Restaurant — your free GEO website is ready to claim: https://inkt.ai/c/mothers-restaurant Reply STOP to opt out,124,1
Floating Island,+15042144199,restaurant,https://inkthorn.ai/crustacean?claim=floating-island&cat=restaurant,https://inkt.ai/c/floating-island,Hi Floating Island — your free GEO website is ready to claim: https://inkt.ai/c/floating-island Reply STOP to opt out,117,1
Beignets & More,+15044599233,restaurant,https://inkthorn.ai/crustacean?claim=beignets-more&cat=restaurant,https://inkt.ai/c/beignets-more,Hi Beignets & More — your free GEO website is ready to claim: https://inkt.ai/c/beignets-more Reply STOP to opt out,115,1
Lucky Jean Seafood,+15042457842,restaurant,https://inkthorn.ai/crustacean?claim=lucky-jean-seafood&cat=restaurant,https://inkt.ai/c/lucky-jean-seafood,Hi Lucky Jean Seafood — your free GEO website is ready to claim: https://inkt.ai/c/lucky-jean-seafood Reply STOP to opt out,123,1
Lacy's Cue Sports Bar,+15046826199,restaurant,https://inkthorn.ai/crustacean?claim=lacys-cue-sports-bar&cat=restaurant,https://inkt.ai/c/lacys-cue-sports-bar,Hi Lacy's Cue Sports Bar — your free GEO website is ready to claim: https://inkt.ai/c/lacys-cue-sports-bar Reply STOP to opt out,128,1
Banh Mi Sao Mai,+15042543977,restaurant,https://inkthorn.ai/crustacean?claim=banh-mi-sao-mai&cat=restaurant,https://inkt.ai/c/banh-mi-sao-mai,Hi Banh Mi Sao Mai — your free GEO website is ready to claim: https://inkt.ai/c/banh-mi-sao-mai Reply STOP to opt out,117,1
Nha Trang,+15046620014,restaurant,https://inkthorn.ai/crustacean?claim=nha-trang&cat=restaurant,https://inkt.ai/c/nha-trang,Hi Nha Trang — your free GEO website is ready to claim: https://inkt.ai/c/nha-trang Reply STOP to opt out,105,1
The Galley Seafood,+15048320955,restaurant,https://inkthorn.ai/crustacean?claim=the-galley-seafood&cat=restaurant,https://inkt.ai/c/the-galley-seafood,Hi The Galley Seafood — your free GEO website is ready to claim: https://inkt.ai/c/the-galley-seafood Reply STOP to opt out,123,1
Eastern European Foods,+15044661982,restaurant,https://inkthorn.ai/crustacean?claim=eastern-european-foods&cat=restaurant,https://inkt.ai/c/eastern-european-foods,Hi Eastern European Foods — your free GEO website is ready to claim: https://inkt.ai/c/eastern-european-foods Reply STOP to opt out,131,1
Bruno's Tavern,+15048617615,restaurant,https://inkthorn.ai/crustacean?claim=brunos-tavern&cat=restaurant,https://inkt.ai/c/brunos-tavern,Hi Bruno's Tavern — your free GEO website is ready to claim: https://inkt.ai/c/brunos-tavern Reply STOP to opt out,114,1
Singleton's Mini Mart,+15048664741,restaurant,https://inkthorn.ai/crustacean?claim=singletons-mini-mart&cat=restaurant,https://inkt.ai/c/singletons-mini-mart,Hi Singleton's Mini Mart — your free GEO website is ready to claim: https://inkt.ai/c/singletons-mini-mart Reply STOP to opt out,128,1
Seafood Zone,+15043670550,restaurant,https://inkthorn.ai/crustacean?claim=seafood-zone&cat=restaurant,https://inkt.ai/c/seafood-zone,Hi Seafood Zone — your free GEO website is ready to claim: https://inkt.ai/c/seafood-zone Reply STOP to opt out,111,1
Tienda Latina,+19854451036,restaurant,https://inkthorn.ai/crustacean?claim=tienda-latina&cat=restaurant,https://inkt.ai/c/tienda-latina,Hi Tienda Latina — your free GEO website is ready to claim: https://inkt.ai/c/tienda-latina Reply STOP to opt out,113,1
Red Apple Restaurant,+19856263373,restaurant,https://inkthorn.ai/crustacean?claim=red-apple-restaurant&cat=restaurant,https://inkt.ai/c/red-apple-restaurant,Hi Red Apple Restaurant — your free GEO website is ready to claim: https://inkt.ai/c/red-apple-restaurant Reply STOP to opt out,127,1
Pearson's Crab Company,+19853281451,restaurant,https://inkthorn.ai/crustacean?claim=pearsons-crab-company&cat=restaurant,https://inkt.ai/c/pearsons-crab-company,Hi Pearson's Crab Company — your free GEO website is ready to claim: https://inkt.ai/c/pearsons-crab-company Reply STOP to opt out,130,1
Pop's Cafe LLC,+19852189099,restaurant,https://inkthorn.ai/crustacean?claim=pops-cafe-llc&cat=restaurant,https://inkt.ai/c/pops-cafe-llc,Hi Pop's Cafe LLC — your free GEO website is ready to claim: https://inkt.ai/c/pops-cafe-llc Reply STOP to opt out,114,1
